utc_datetime,stockindexbuzz,bondbuzz,ratesbuzz,stkidxsentiment,stkidxoptimism,sidxtrust,sidxfear,sidxstress,sidxsurprise,sidxuncertainty,sidxmarketrisk,sidxprcdirection,sidxpricefrcst,sidxvolatility,bsentiment,boptimism,btrust,bfear,bstress,bsurprise,buncertainty,bdefault,bprcdirection,bpricefrcst,bvolatility,centralbank,debtdefault,interestrates,intratesfrcst,mplcyloosevstight
2019-01-05 12:00:00+00:00,915.2,339.5,235.5,-0.0967,0.0044,-0.0029,0.0011,0.0869,0.0066,0.0098,-0.0084,0.0137,-0.0055,0.0519,-0.2459,-0.0368,0.0015,0.0147,0.0928,0.0,0.0059,0.0177,-0.0295,0.0,0.0044,0.724,0.1274,0.0425,0.0127,-0.0085
2019-01-05 18:00:00+00:00,3161.5,228.5,354.0,0.4131,-0.0022,0.003,0.0028,0.0236,0.0008,0.0024,0.0818,0.1684,0.0769,0.0235,-0.302,-0.0328,-0.0022,0.0066,0.1663,0.0,0.0481,0.0088,-0.0175,0.0,0.0613,0.6822,0.0056,-0.0395,-0.0,-0.0014
2019-01-06 00:00:00+00:00,513.3,257.5,254.0,0.0448,0.0039,0.0093,0.0,0.0409,0.0,0.0117,0.0123,0.0438,0.0039,0.053,-0.1689,-0.1204,0.0073,0.035,0.0524,0.0155,0.0117,0.0039,-0.0311,0.0,0.0155,0.5413,0.2972,0.0039,0.0,-0.0039
2019-01-06 06:00:00+00:00,284.2,120.0,113.0,-0.0475,0.0141,0.0106,0.0106,0.0739,0.0,0.0158,0.0176,-0.0229,0.007,0.0183,-0.1042,-0.0333,-0.0167,0.0167,0.1042,0.0,0.0333,0.0167,0.0,0.0,0.0583,0.531,0.2965,-0.1062,0.0,-0.0044
2019-01-06 12:00:00+00:00,466.0,285.0,283.5,-0.0376,-0.0032,0.0005,0.0225,0.073,0.0075,0.0215,0.0097,0.0311,0.0075,0.0601,-0.107,-0.0807,0.0022,0.0228,0.1105,0.007,0.0228,0.0088,-0.0,-0.007,0.0175,0.8483,0.0564,-0.0,0.0071,0.0035
2019-01-06 18:00:00+00:00,965.2,262.0,297.0,-0.0891,-0.0259,0.0098,0.0062,0.0565,0.0109,0.0093,-0.0003,0.0238,0.0047,0.0288,-0.3149,-0.0286,-0.0019,-0.0038,0.0992,0.0,0.021,0.0534,-0.0229,-0.0076,0.0229,0.6279,0.1667,-0.0808,0.0067,0.0236
2019-01-07 00:00:00+00:00,1745.5,450.5,480.5,0.1157,-0.0301,0.0143,0.0097,0.061,0.0009,0.0126,-0.0003,0.0476,0.0003,0.0382,-0.1998,0.0089,-0.0017,0.0011,0.0511,0.0022,0.0078,0.0155,0.02,0.0067,0.0344,0.7773,0.0676,-0.0468,-0.0042,-0.0104
2019-01-07 06:00:00+00:00,3570.6,530.7,1586.0,0.2927,0.0209,0.0236,0.0095,0.0409,0.0028,0.0084,0.0093,0.0914,0.002,0.0597,-0.1376,-0.049,-0.0016,0.0151,0.0396,0.0,0.016,0.0301,0.1526,-0.0038,0.023,0.7049,0.0328,-0.2068,-0.0028,-0.0038
2019-01-07 12:00:00+00:00,3018.0,749.3,1220.5,0.1249,0.0186,0.0195,0.0116,0.056,0.0051,0.0142,0.0021,0.0318,-0.0003,0.0559,0.0194,-0.0414,0.019,0.004,0.0714,0.0,0.016,0.0307,-0.0013,0.0093,0.0343,0.6473,0.0545,-0.1696,0.0107,-0.009
2019-01-07 18:00:00+00:00,9071.0,2259.3,1999.5,0.0467,0.0028,0.0089,0.0085,0.0585,0.0015,0.0234,0.0029,0.0286,-0.0013,0.0481,-0.0343,0.002,-0.0009,0.0186,0.0715,-0.0009,0.0201,0.0089,0.0303,-0.0024,0.0279,0.6147,0.1258,-0.034,0.0085,0.0005
2019-01-08 00:00:00+00:00,6644.9,1705.3,1526.5,0.1606,0.0138,0.0148,0.0061,0.0482,0.0039,0.0233,0.0047,0.0761,0.0047,0.0337,-0.1739,0.0012,0.0033,0.0123,0.0774,0.0,0.0108,0.0114,-0.0258,0.0006,0.0198,0.6374,0.1507,-0.0219,0.0026,0.0007
2019-01-08 06:00:00+00:00,4708.900000000001,728.0,1135.5,0.2698,0.0029,0.0019,0.0059,0.0381,0.0008,0.0047,0.0523,0.1501,0.0529,0.0295,0.0282,-0.0076,-0.0003,0.0082,0.0831,0.0055,0.0151,0.0055,0.011,-0.0076,0.0151,0.7318,0.1004,-0.026,0.0013,-0.0088
