utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-01 03:00:00+00:00,85.5,-0.1287,-0.0526,0.0,0.0,-0.0058,0.0,0.0234,0.0,0.0117,0.076,0.0,0.0,-0.0117,0.0234,0.3333,-0.0029,0.0,-0.0117,-0.117,-0.0117,0.0585,0.0,0.0,0.0
2019-01-01 06:00:00+00:00,460.5,0.038,-0.0293,0.0065,0.0087,0.0022,0.0,-0.0043,0.0043,0.0043,0.0315,0.0195,0.0,0.0011,0.0022,0.0717,0.0641,-0.038,0.0011,0.0912,-0.0282,0.0119,0.0,0.0,0.0076
2019-01-01 09:00:00+00:00,249.7,0.004,-0.024,0.0,0.004,0.003,0.0,-0.004,0.0,0.032,0.0481,0.016,0.0,-0.024,0.004,0.2295,0.0771,-0.012,0.0,0.0741,0.008,0.0008,0.0,0.0,0.012
2019-01-01 12:00:00+00:00,192.2,0.039,0.013,0.0,0.0,0.0026,0.0,-0.0104,0.0364,0.0416,0.0468,0.052,-0.0052,-0.0078,0.0208,0.2539,0.0416,-0.0156,-0.0052,0.0832,0.0104,0.001,0.0,0.0,0.0208
2019-01-01 15:00:00+00:00,183.0,0.1148,0.0164,0.0,0.0,0.0027,0.0,0.0055,0.0164,0.0109,0.0383,0.0328,0.0,0.0,0.0,-0.0929,0.1366,-0.0984,0.0,0.2568,0.0219,0.0055,0.0,0.0,0.0055
2019-01-01 18:00:00+00:00,107.0,0.2056,0.0,0.0,0.0,0.0117,0.0,0.0,0.0093,0.0,0.028,0.0187,0.0,-0.0093,0.0374,0.215,0.0467,-0.0093,0.0,0.1028,0.0,0.0,0.0,0.0,0.028
2019-01-01 21:00:00+00:00,90.0,0.0278,-0.0278,0.0389,-0.0111,0.0,0.0111,0.0056,0.0,0.0,0.0389,0.0667,0.0,0.0222,0.0111,0.3444,0.0472,0.0333,0.0,0.0278,-0.0111,0.0,0.0,0.0,0.0
2019-01-02 00:00:00+00:00,207.0,-0.0483,-0.0024,0.0,0.0,0.0012,0.0,-0.0145,0.0,0.0483,0.0386,0.0193,0.0,0.0048,0.0145,0.285,0.0495,-0.0169,-0.0024,0.0097,-0.0048,0.0097,0.0,0.0,0.0072
2019-01-02 03:00:00+00:00,729.0,-0.1214,0.0055,0.0014,0.0,0.0021,0.0014,-0.0069,0.0137,0.0069,0.0857,0.0178,0.0027,-0.0014,0.0055,0.1152,0.0401,-0.0075,-0.0021,-0.0103,0.0014,0.0247,0.0,0.0,0.0103
2019-01-02 06:00:00+00:00,1110.1,-0.1572,-0.0095,0.0,0.0005,0.0014,0.0018,-0.0081,0.0144,0.0176,0.0775,0.0036,-0.0009,-0.0068,0.018,0.2431,0.0428,-0.0072,0.0009,0.0167,0.0027,0.0213,0.0,0.0,-0.0036
2019-01-02 09:00:00+00:00,1212.4,-0.2305,-0.019,0.0016,0.0025,-0.0002,0.0008,0.0169,0.0091,0.033,0.0458,0.0107,0.0066,0.0239,0.0252,0.2376,0.0082,0.0037,-0.0008,-0.0911,-0.0111,0.0519,0.0,0.0,-0.0082
2019-01-02 12:00:00+00:00,1276.3,-0.1618,-0.0309,0.0,-0.0024,0.0001,0.0031,-0.0078,0.0129,0.0259,0.0862,0.0055,0.0008,-0.0063,0.0137,0.2679,0.0062,-0.0125,-0.0008,-0.0431,-0.0098,0.0346,0.0,0.0,-0.0024
2019-01-02 15:00:00+00:00,1287.3,-0.0493,-0.0012,0.0,0.0,0.0039,0.0047,0.0023,0.0167,0.026,0.0924,0.007,-0.0008,-0.0031,0.007,0.2384,0.0482,-0.0023,-0.0016,0.0256,0.0047,0.0218,0.0,0.0,0.0085
2019-01-02 18:00:00+00:00,890.4,-0.0258,0.0034,0.0011,0.0,0.0031,0.0034,0.0101,0.0146,0.0157,0.0708,0.0006,0.0045,0.0118,0.0017,0.2916,0.0486,0.009,0.0022,0.0354,-0.0039,0.0431,0.0,-0.0011,0.0051
2019-01-02 21:00:00+00:00,999.6,-0.093,-0.0625,0.004,-0.0,-0.0033,0.002,-0.0055,0.008,0.025,0.051,0.006,0.0,-0.0075,0.008,0.265,0.0183,-0.006,-0.003,0.0135,-0.008,0.0331,0.0,0.0,-0.0005
2019-01-03 00:00:00+00:00,1459.6,0.0195,-0.0151,0.0007,0.0,0.013,0.0055,0.0045,0.0089,0.0106,0.037,0.0069,0.0062,0.0058,0.0055,0.3166,0.0345,0.0,0.0,-0.0137,-0.0226,0.0239,0.0,0.0,-0.0062
