utc_datetime,stockindexbuzz,bondbuzz,ratesbuzz,stkidxsentiment,stkidxoptimism,sidxtrust,sidxfear,sidxstress,sidxsurprise,sidxuncertainty,sidxmarketrisk,sidxprcdirection,sidxpricefrcst,sidxvolatility,bsentiment,boptimism,btrust,bfear,bstress,bsurprise,buncertainty,bdefault,bprcdirection,bpricefrcst,bvolatility,centralbank,debtdefault,interestrates,intratesfrcst,mplcyloosevstight
2019-01-01 03:00:00+00:00,31.0,0.0,0.0,0.0,0.0968,0.0,0.0,0.0645,0.0,0.0,0.0161,-0.0968,0.0,0.0645,,,,,,,,,,,,,,,,
2019-01-01 06:00:00+00:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 09:00:00+00:00,7.0,0.0,0.0,-0.5714,0.0,0.0357,0.0,0.0,0.0,0.0,0.0,-0.2857,0.0,0.0,,,,,,,,,,,,,,,,
2019-01-01 12:00:00+00:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 15:00:00+00:00,0.0,6.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2019-01-01 18:00:00+00:00,6.0,0.0,2.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,-0.1667,-0.3333,0.0,0.0,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0
2019-01-01 21:00:00+00:00,0.0,10.0,0.0,,,,,,,,,,,,0.4,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2019-01-02 00:00:00+00:00,0.0,2.5,2.0,,,,,,,,,,,,-0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0
2019-01-02 03:00:00+00:00,11.0,0.0,1.0,0.3636,0.0,0.0,0.0,0.1818,0.0,0.0,0.0,-0.0909,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1.0
2019-01-02 06:00:00+00:00,94.4,1.0,3.0,-0.2754,-0.0477,0.0,0.0,0.1536,0.0,0.0,-0.0424,-0.0106,0.0,0.0572,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333
2019-01-02 09:00:00+00:00,141.5,5.0,11.0,0.0035,-0.0071,0.0,0.0,0.0141,0.0,0.0,0.0565,0.0424,0.0,0.0424,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455,0.0909,0.0909,0.0,0.2727
2019-01-02 12:00:00+00:00,71.0,6.0,20.0,0.1197,-0.0141,0.007,0.0,0.0493,0.0141,0.0,0.0246,-0.0282,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.15,0.0,0.3
