utc_datetime,bid_open,bid_high,bid_low,bid_close
2016-12-26 00:00:00+00:00,84.169,84.322,83.9005,84.1665
2016-12-27 00:00:00+00:00,84.1675,84.616,84.0075,84.123
2016-12-28 00:00:00+00:00,84.1235,84.587,-0.019,84.4535
2016-12-29 00:00:00+00:00,84.454,84.8455,-0.019,84.0845
2016-12-30 00:00:00+00:00,84.0855,84.227,-0.019,84.14
2016-12-31 00:00:00+00:00,84.1405,84.579,-0.019,84.331
2017-01-03 00:00:00+00:00,84.473,84.6105,84.329,84.5025
2017-01-04 00:00:00+00:00,84.504,85.4625,-0.019,85.0245
2017-01-05 00:00:00+00:00,85.025,85.6935,-0.019,85.349
2017-01-06 00:00:00+00:00,85.348,85.351,-0.019,84.6115
2017-01-07 00:00:00+00:00,84.611,85.4765,-0.019,85.401
2017-01-09 00:00:00+00:00,85.367,85.656,85.322,85.643
2017-01-10 00:00:00+00:00,85.6435,85.901,-0.019,85.3055
2017-01-11 00:00:00+00:00,85.3055,85.404,-0.019,85.2575
2017-01-12 00:00:00+00:00,85.258,86.081,-0.019,85.6845
2017-01-13 00:00:00+00:00,85.684,85.9385,-0.019,85.8615
2017-01-14 00:00:00+00:00,85.862,86.2635,-0.019,85.9185
2017-01-16 00:00:00+00:00,85.5495,85.773,85.398,85.6335
2017-01-17 00:00:00+00:00,85.634,85.766,-0.019,85.279
2017-01-18 00:00:00+00:00,85.2795,85.582,-0.019,85.218
2017-01-19 00:00:00+00:00,85.2175,86.1915,-0.019,86.1265
2017-01-20 00:00:00+00:00,86.127,87.055,-0.019,86.9475
2017-01-21 00:00:00+00:00,86.947,87.028,-0.019,86.484
2017-01-23 00:00:00+00:00,86.3895,86.5025,86.09,86.1595
2017-01-24 00:00:00+00:00,86.16,86.255,-0.019,85.4975
2017-01-25 00:00:00+00:00,85.498,86.424,-0.019,86.417
2017-01-26 00:00:00+00:00,86.4165,86.492,-0.019,85.776
2017-01-27 00:00:00+00:00,85.7755,86.6625,-0.019,86.166
2017-01-28 00:00:00+00:00,86.165,87.073,-0.019,86.8725
2017-01-30 00:00:00+00:00,86.6625,86.8645,86.555,86.5935
2017-01-31 00:00:00+00:00,86.594,86.6865,-0.019,85.99
2017-02-01 00:00:00+00:00,85.9895,86.0665,-0.019,85.439
2017-02-02 00:00:00+00:00,85.4395,86.096,-0.019,85.894
2017-02-03 00:00:00+00:00,85.8945,86.5045,-0.019,86.337
2017-02-04 00:00:00+00:00,86.336,86.7085,-0.019,86.503
2017-02-06 00:00:00+00:00,86.1665,86.477,86.1665,86.437
2017-02-07 00:00:00+00:00,86.436,86.4745,-0.019,85.48
2017-02-08 00:00:00+00:00,85.4795,85.882,-0.019,85.627
2017-02-09 00:00:00+00:00,85.6275,85.806,-0.019,85.4355
2017-02-10 00:00:00+00:00,85.435,86.505,-0.019,86.457
2017-02-11 00:00:00+00:00,86.4565,87.1685,-0.019,86.9575
2017-02-13 00:00:00+00:00,87.283,87.389,87.084,87.3575
2017-02-14 00:00:00+00:00,87.358,87.4795,-0.019,86.854
2017-02-15 00:00:00+00:00,86.8535,87.769,-0.019,87.632
2017-02-16 00:00:00+00:00,87.6335,88.163,-0.019,88.099
2017-02-17 00:00:00+00:00,88.0995,88.1295,-0.019,87.207
2017-02-18 00:00:00+00:00,87.2075,87.4425,-0.019,86.5355
2017-02-20 00:00:00+00:00,86.5925,86.71,86.528,86.546
2017-02-21 00:00:00+00:00,86.5465,87.0855,-0.019,87.0775
2017-02-22 00:00:00+00:00,87.078,87.3015,-0.019,87.2345
2017-02-23 00:00:00+00:00,87.235,87.3755,-0.019,87.26
2017-02-24 00:00:00+00:00,87.2605,87.28,-0.019,86.9015
2017-02-25 00:00:00+00:00,86.901,87.0635,-0.019,86.023
2017-02-27 00:00:00+00:00,86.0715,86.2095,85.9995,86.0095
2017-02-28 00:00:00+00:00,86.01,86.625,-0.019,86.522
