utc_datetime,bid_open,bid_high,bid_low,bid_close
2019-01-02 00:00:00+00:00,125.7405,125.827,125.654,125.7175
2019-01-03 00:00:00+00:00,125.7175,125.7215,118.7055,121.5175
2019-01-04 00:00:00+00:00,121.517,123.3945,121.2715,122.8365
2019-01-05 00:00:00+00:00,122.8345,123.8375,122.566,123.6445
2019-01-07 00:00:00+00:00,123.677,123.8965,123.6215,123.8395
2019-01-08 00:00:00+00:00,123.8395,124.7785,123.3905,124.683
2019-01-09 00:00:00+00:00,124.686,124.8395,124.1115,124.5865
2019-01-10 00:00:00+00:00,124.5875,125.0765,124.4455,124.9885
2019-01-11 00:00:00+00:00,124.9875,125.0465,124.3485,124.6125
2019-01-12 00:00:00+00:00,124.6115,124.9765,124.2255,124.4255
2019-01-14 00:00:00+00:00,124.379,124.426,124.2485,124.2745
2019-01-15 00:00:00+00:00,124.2755,124.3485,123.7575,124.1605
2019-01-16 00:00:00+00:00,124.1595,124.8345,123.383,123.9985
2019-01-17 00:00:00+00:00,123.9995,124.3995,123.5145,124.2915
2019-01-18 00:00:00+00:00,124.2905,124.6625,123.7295,124.3175
2019-01-19 00:00:00+00:00,124.3185,124.9505,124.2995,124.7035
2019-01-21 00:00:00+00:00,124.6715,124.742,124.6185,124.6495
2019-01-22 00:00:00+00:00,124.6495,124.8075,124.5005,124.6695
2019-01-23 00:00:00+00:00,124.6685,124.6915,124.0355,124.2475
2019-01-24 00:00:00+00:00,124.2435,124.9175,124.2435,124.6715
2019-01-25 00:00:00+00:00,124.6725,124.8785,123.7795,123.9635
2019-01-26 00:00:00+00:00,123.9635,125.2965,123.9035,125.0015
2019-01-28 00:00:00+00:00,124.888,125.0185,124.8285,124.8625
2019-01-29 00:00:00+00:00,124.8625,124.9925,124.5895,124.8655
2019-01-30 00:00:00+00:00,124.8675,125.2155,124.6745,125.1125
2019-01-31 00:00:00+00:00,125.1125,125.455,124.8745,125.1515
2019-02-01 00:00:00+00:00,125.1515,125.2745,124.4835,124.5905
2019-02-02 00:00:00+00:00,124.5905,125.7135,124.3495,125.4735
2019-02-04 00:00:00+00:00,125.408,125.477,125.3505,125.3505
2019-02-05 00:00:00+00:00,125.3505,125.9275,125.3485,125.7405
2019-02-06 00:00:00+00:00,125.7415,125.8515,125.2725,125.4135
2019-02-07 00:00:00+00:00,125.4145,125.4185,124.8085,124.9985
2019-02-08 00:00:00+00:00,124.9995,125.0495,124.3375,124.4425
2019-02-09 00:00:00+00:00,124.4385,124.6755,124.1645,124.3045
2019-02-11 00:00:00+00:00,124.2735,124.3745,124.241,124.3445
2019-02-12 00:00:00+00:00,124.3445,124.8585,124.3255,124.4895
2019-02-13 00:00:00+00:00,124.4885,125.2505,124.4395,125.2315
2019-02-14 00:00:00+00:00,125.2345,125.5175,124.875,124.9445
2019-02-15 00:00:00+00:00,124.9445,125.4375,124.733,124.8325
2019-02-16 00:00:00+00:00,124.8295,124.8365,124.2145,124.7325
2019-02-18 00:00:00+00:00,124.7325,124.8915,124.6995,124.8755
2019-02-19 00:00:00+00:00,124.8735,125.2525,124.7785,125.0865
2019-02-20 00:00:00+00:00,125.0865,125.5175,124.7585,125.3835
2019-02-21 00:00:00+00:00,125.3825,125.9155,125.3775,125.6495
2019-02-22 00:00:00+00:00,125.6495,125.8505,125.3145,125.5175
2019-02-23 00:00:00+00:00,125.5185,125.7525,125.3795,125.3975
2019-02-25 00:00:00+00:00,125.4355,125.6355,125.366,125.6195
2019-02-26 00:00:00+00:00,125.6195,126.2815,125.3715,126.1745
2019-02-27 00:00:00+00:00,126.1765,126.2045,125.7055,125.9355
2019-02-28 00:00:00+00:00,125.9355,126.3265,125.5285,126.1415
2019-03-01 00:00:00+00:00,126.1415,126.8835,125.8805,126.6465
2019-03-02 00:00:00+00:00,126.6445,127.489,126.6395,127.2565
2019-03-04 00:00:00+00:00,127.3055,127.3605,127.14,127.3095
2019-03-05 00:00:00+00:00,127.3095,127.3315,126.4335,126.6975
2019-03-06 00:00:00+00:00,126.6985,126.9155,126.3515,126.4625
2019-03-07 00:00:00+00:00,126.4625,126.5175,126.1605,126.2665
2019-03-08 00:00:00+00:00,126.2665,126.4125,124.6555,125.0005
2019-03-09 00:00:00+00:00,125.0035,125.0095,124.2605,124.8045
2019-03-11 00:00:00+00:00,124.848,124.8765,124.667,124.7535
2019-03-12 00:00:00+00:00,124.7535,125.4525,124.4705,125.3315
2019-03-13 00:00:00+00:00,125.3325,125.8055,125.0615,125.6165
2019-03-14 00:00:00+00:00,125.6165,126.1215,125.4455,125.9965
2019-03-15 00:00:00+00:00,125.9965,126.5445,125.9255,126.3345
2019-03-16 00:00:00+00:00,126.3375,126.5515,126.1065,126.2175
2019-03-18 00:00:00+00:00,126.252,126.2775,126.1885,126.2505
2019-03-19 00:00:00+00:00,126.2505,126.6715,126.1365,126.2665
