utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-01 12:00:00+00:00,987.9,0.0152,-0.0218,0.003,0.0051,0.0018,0.0,-0.003,0.0091,0.0192,0.0425,0.0233,-0.001,-0.0081,0.0081,0.1697,0.0572,-0.0238,-0.0015,0.0673,-0.0101,0.011,0.0,0.0,0.0106
2019-01-02 00:00:00+00:00,587.0,0.0605,-0.0,0.006,-0.0017,0.0034,0.0017,-0.0026,0.0068,0.0204,0.0366,0.0307,0.0,0.0034,0.0136,0.1635,0.0758,-0.0332,-0.0009,0.1065,0.0034,0.0051,0.0,0.0,0.0094
2019-01-02 12:00:00+00:00,4327.8,-0.1731,-0.0159,0.0007,0.0001,0.0007,0.0018,-0.0008,0.0124,0.0225,0.0726,0.0085,0.0023,0.0029,0.0166,0.2273,0.0219,-0.0058,-0.0006,-0.0357,-0.0051,0.0343,0.0,0.0,-0.0022
2019-01-03 00:00:00+00:00,4636.9,-0.0326,-0.0179,0.0013,0.0,0.0051,0.0041,0.0028,0.012,0.019,0.0619,0.0055,0.0026,0.0016,0.0057,0.279,0.0375,-0.0002,-0.0006,0.0125,-0.0083,0.029,0.0,-0.0002,0.0013
2019-01-03 12:00:00+00:00,4850.8,-0.1062,-0.0086,0.0009,0.0005,0.0035,0.0027,0.0022,0.0118,0.0369,0.0357,0.0062,0.0031,0.0095,0.0079,0.2762,0.0236,-0.0045,-0.0004,-0.0394,-0.003,0.0374,0.0,0.0,0.0057
2019-01-04 00:00:00+00:00,6199.9,-0.1202,-0.0119,0.0017,0.0008,0.0004,0.0002,0.0044,0.0077,0.0253,0.0459,0.0152,0.0015,0.0073,0.0122,0.233,0.0286,0.0006,0.0009,-0.0319,-0.0038,0.037,0.0002,0.001,0.0006
2019-01-04 12:00:00+00:00,5251.2,-0.0885,-0.0108,0.003,0.0016,-0.0006,0.0008,0.0063,0.0068,0.0229,0.0493,0.0087,0.0028,0.0093,0.0171,0.2718,0.026,-0.0009,0.0002,-0.0071,-0.0047,0.0444,0.0002,0.0004,-0.0067
2019-01-05 00:00:00+00:00,6220.8,-0.0629,0.0145,0.005,0.0008,0.0005,0.0016,-0.0084,0.0092,0.0254,0.0432,0.0125,0.0051,0.0053,0.0102,0.2816,0.0459,0.0003,0.0005,0.0308,0.0057,0.0338,0.0,0.0,0.0102
2019-01-05 12:00:00+00:00,857.9,0.0128,-0.014,0.0012,0.0064,0.0035,0.0023,0.0064,0.0152,0.028,0.0455,0.0245,0.0058,0.0157,0.0233,0.3039,0.0487,0.0041,-0.0017,0.0752,-0.0087,0.0225,0.0,0.0,0.0117
2019-01-06 00:00:00+00:00,961.2,-0.0572,-0.0042,0.0073,0.0062,0.0039,0.001,0.0099,0.0083,0.0146,0.0494,0.0323,0.001,-0.0016,0.0177,0.3165,-0.0106,0.0146,0.0042,-0.0401,-0.0073,0.0242,0.0,0.0021,-0.0505
