utc_datetime,buzz,sentiment,optimism,joy,lovehate,trust,anger,conflict,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,marketrisk,longshort,longshortfrcst,pricedirection,priceforecast,volatility,carrytrade,curpeginstablty,pricemomentum
2019-01-23 00:00:00+00:00,4984.7,-0.0599,-0.027,0.0025,-0.0033,0.0003,0.0074,0.0211,0.0112,0.0306,0.0561,0.0108,0.0022,-0.0041,0.0213,0.2703,-0.0007,-0.0121,-0.0,-0.0143,-0.0067,0.0222,0.0,-0.0004,-0.0012
2019-01-24 00:00:00+00:00,6659.2,-0.0489,-0.0314,0.0021,-0.0001,0.0012,0.0019,0.0034,0.0076,0.0343,0.0683,0.0102,0.0023,0.0001,0.023,0.2841,-0.0019,-0.0049,-0.001,0.0005,-0.0014,0.0317,0.0,0.0,0.0162
2019-01-25 00:00:00+00:00,12006.3,-0.1023,-0.0307,0.0038,-0.0017,0.0011,0.0042,0.0011,0.0064,0.0257,0.0546,0.0074,0.0002,-0.0144,0.0327,0.2726,-0.0003,0.0048,0.0007,-0.0217,-0.0027,0.0201,0.0,0.0,0.0174
2019-01-26 00:00:00+00:00,7545.0,-0.0657,-0.0058,0.0046,-0.0024,0.0008,0.0058,0.0165,0.007,0.0207,0.0377,0.0103,0.0028,-0.005,0.0209,0.2836,0.0322,0.0018,0.0013,0.0044,0.0044,0.0203,0.0,-0.0001,0.006
2019-01-27 00:00:00+00:00,869.3,-0.0483,-0.0035,0.0155,-0.0012,0.001,0.0058,0.0259,0.0063,0.0167,0.0328,0.0224,0.0092,0.0311,0.0299,0.4004,0.0155,0.0069,-0.0012,0.0092,-0.0121,0.0304,0.0,0.0,0.0132
2019-01-28 00:00:00+00:00,1328.9,-0.0527,-0.0192,0.0075,-0.0015,-0.0015,0.006,-0.0113,0.0075,0.0342,0.0467,0.032,0.003,0.0011,0.0271,0.3702,0.0193,0.0008,0.0,0.0226,-0.0083,0.0309,0.0,0.0,0.0015
2019-01-29 00:00:00+00:00,5142.1,-0.0442,-0.0021,0.0066,0.0029,-0.0016,0.0051,0.011,0.0045,0.0186,0.0568,0.0122,0.0047,-0.003,0.023,0.3261,0.0362,-0.0015,0.0016,0.0497,0.0128,0.0313,0.0,0.0,0.0081
2019-01-30 00:00:00+00:00,4666.4,-0.0522,-0.0021,0.001,0.0017,0.0002,0.0024,0.0069,0.0089,0.0221,0.0634,0.0121,0.0043,-0.0092,0.0204,0.2491,0.0388,-0.0012,0.0015,0.0257,0.0083,0.0345,0.0,0.0004,0.0044
2019-01-31 00:00:00+00:00,4907.9,0.0141,0.0083,0.0023,-0.0012,-0.0013,0.0032,0.0022,0.0024,0.0145,0.0519,0.0101,0.0012,-0.0157,0.0154,0.2263,0.0526,-0.0012,-0.001,0.055,0.0064,0.0406,0.0,0.0,0.0179
2019-02-01 00:00:00+00:00,5330.1,-0.0947,-0.0148,0.0044,0.0008,-0.0007,0.0049,-0.0023,0.0097,0.0287,0.0393,0.0107,0.0018,-0.0001,0.0165,0.2367,0.022,-0.0074,0.0014,0.0049,-0.0017,0.029,0.0,-0.0002,0.0028
2019-02-02 00:00:00+00:00,3757.0,-0.1103,-0.0051,0.0053,-0.0008,-0.0019,0.0045,0.0032,0.0076,0.027,0.0495,0.0162,0.0109,0.0132,0.026,0.2646,0.0259,0.0067,0.0028,0.0184,0.0043,0.0412,0.0003,0.0,0.0153
2019-02-03 00:00:00+00:00,416.9,-0.0324,-0.0132,0.0036,-0.0048,0.0033,0.0048,-0.0108,0.0,0.0096,0.036,0.024,0.0048,0.0108,0.0408,0.071,0.03,-0.018,0.012,0.0732,0.0216,0.0369,0.0,0.0,-0.0084
2019-02-04 00:00:00+00:00,1133.7,-0.1583,-0.1169,0.0004,-0.0018,0.0037,0.0035,-0.0009,0.0004,0.0172,0.1147,0.0247,-0.0009,-0.0035,0.0234,0.3945,-0.0474,0.0031,0.004,0.0053,-0.0229,0.0236,0.0,0.0,-0.0035
2019-02-05 00:00:00+00:00,4292.5,-0.11,0.0085,0.0016,-0.0021,-0.0041,0.0056,0.0013,0.0033,0.0168,0.0327,0.01,0.0038,-0.0073,0.0105,0.2474,0.0166,-0.002,-0.0002,-0.0439,0.0085,0.0276,0.0002,-0.0002,-0.0072
2019-02-06 00:00:00+00:00,4801.9,-0.0679,-0.009,0.002,0.0001,-0.0004,0.0036,-0.0101,0.0018,0.0167,0.0532,0.008,0.0006,-0.0043,0.0157,0.1754,0.0204,-0.0044,-0.0002,-0.0353,0.0024,0.0284,0.0,0.0,-0.0006
2019-02-07 00:00:00+00:00,5876.4,-0.1985,-0.014,0.0054,-0.0082,-0.0007,0.0177,-0.002,0.0049,0.0272,0.0579,0.0111,0.0059,-0.0042,0.0115,0.2663,0.0036,-0.0174,-0.0022,-0.0562,-0.001,0.0298,0.0,0.0,-0.0001
2019-02-08 00:00:00+00:00,8511.4,-0.1587,-0.0442,0.0029,0.0005,-0.0002,0.0036,0.0021,0.0019,0.0391,0.0456,0.0115,0.0032,0.0156,0.0229,0.3516,0.0003,-0.0022,-0.0004,-0.0738,-0.0112,0.0203,0.0,0.0,-0.0007
2019-02-09 00:00:00+00:00,6846.5,-0.1492,-0.025,0.0012,0.0017,0.0009,0.0014,0.0006,0.0047,0.0371,0.0359,0.0051,0.0015,-0.005,0.0198,0.2976,0.014,0.0054,0.0012,-0.0622,-0.0028,0.0268,0.0,0.0001,-0.0131
2019-02-10 00:00:00+00:00,1366.7,-0.0929,-0.0073,0.004,-0.0007,-0.0003,0.0102,0.0183,0.0004,0.023,0.0816,0.0176,0.0015,0.0048,0.0344,0.3207,0.0009,-0.0029,0.0007,0.015,0.007,0.0327,0.0,0.0,0.008
2019-02-11 00:00:00+00:00,944.0,-0.0911,0.0069,0.0032,0.0074,0.0057,0.0064,-0.0064,0.0032,0.0238,0.0466,0.0334,0.0011,-0.0111,0.0212,0.2796,0.0186,-0.0,-0.0005,-0.0191,0.0053,0.0372,0.0,-0.0011,-0.0138
2019-02-12 00:00:00+00:00,5456.9,-0.1066,-0.0245,0.0011,-0.0003,-0.0006,0.0033,0.0094,0.0083,0.0388,0.0521,0.0147,0.001,-0.0019,0.0237,0.1921,-0.0139,-0.0039,-0.0002,-0.0958,-0.0044,0.0388,0.0,0.0,-0.0005
2019-02-13 00:00:00+00:00,5029.1,-0.1038,0.0054,0.007,0.0,0.0012,0.0044,0.0157,0.0028,0.022,0.0635,0.0118,0.0036,0.0049,0.0231,0.254,0.0333,-0.0012,-0.0002,-0.0076,0.0026,0.0291,0.0,0.0,0.0054
2019-02-14 00:00:00+00:00,5577.2,0.0606,0.0072,0.0028,-0.0003,-0.0004,0.0021,0.0069,0.0034,0.0146,0.0493,0.023,0.0007,0.0041,0.017,0.2282,0.0518,0.011,-0.0021,0.0623,0.0073,0.0296,0.0,0.0011,0.0153
2019-02-15 00:00:00+00:00,7133.6,-0.0519,0.0017,0.0029,-0.002,0.0006,0.0068,0.0032,0.006,0.0215,0.0483,0.009,0.0035,0.0106,0.0168,0.2366,0.033,-0.0014,0.0001,0.0357,0.0011,0.0312,0.0,0.0,0.0081
2019-02-16 00:00:00+00:00,5191.9,-0.1081,-0.0123,0.0015,-0.0019,-0.0002,0.0052,0.0106,0.0087,0.0221,0.0442,0.0111,0.0033,0.0076,0.0218,0.2159,0.0156,-0.0082,-0.0018,-0.0463,-0.0046,0.0312,0.0,0.0,0.0013
2019-02-17 00:00:00+00:00,846.3000000000001,-0.0928,-0.0325,0.0012,-0.0006,-0.0118,0.0077,0.0189,0.0071,0.0437,0.065,0.0083,0.0047,-0.0035,0.0136,0.4279,0.0123,-0.0035,-0.0035,0.0171,-0.0012,0.0147,0.0,0.0071,0.0083
2019-02-18 00:00:00+00:00,961.4,-0.077,-0.0094,0.0021,0.001,0.0008,0.0083,0.0151,0.001,0.0302,0.0801,0.0265,0.0042,0.0073,0.026,0.273,0.0115,-0.0073,-0.0062,-0.0156,-0.0094,0.0229,0.0,0.0,0.0042
2019-02-19 00:00:00+00:00,5311.8,0.1327,0.0298,0.0193,0.0009,0.0016,0.0024,0.0066,0.0083,0.012,0.051,0.0107,0.0,-0.0021,0.012,0.2809,0.0597,-0.002,0.0004,0.0929,0.0072,0.0173,0.0004,0.0,0.0192
2019-02-20 00:00:00+00:00,7463.0,-0.1076,-0.023,0.0041,0.0011,0.0015,0.0036,0.0031,0.0066,0.0138,0.0425,0.01,0.0053,0.0023,0.0224,0.2089,0.0156,-0.0087,-0.0011,-0.0081,-0.0058,0.0448,0.0001,0.0,-0.0005
2019-02-21 00:00:00+00:00,5363.8,-0.0145,0.0045,0.0063,-0.0001,-0.0003,0.0043,0.0036,0.0072,0.0155,0.0363,0.0229,0.0108,0.0115,0.0117,0.2126,0.0388,0.0094,-0.0013,0.0241,0.0047,0.0311,0.0,0.0004,0.0083
2019-02-22 00:00:00+00:00,5416.9,0.001,0.0085,0.0038,-0.0027,0.003,0.0052,-0.0119,0.005,0.0149,0.0385,0.0172,0.0017,-0.0027,0.0226,0.2038,0.0335,0.016,0.0005,0.0438,0.0074,0.0319,0.0,0.0,0.008
2019-02-23 00:00:00+00:00,4463.6,-0.0636,-0.0183,0.0019,0.0027,0.0013,0.0013,-0.0254,0.0069,0.0271,0.0377,0.017,0.0038,-0.0022,0.0199,0.2238,0.0343,0.0109,0.0011,0.0318,0.0036,0.0269,0.0,0.0,0.0006
