utc_datetime,stockindexbuzz,bondbuzz,ratesbuzz,stkidxsentiment,stkidxoptimism,sidxtrust,sidxfear,sidxstress,sidxsurprise,sidxuncertainty,sidxmarketrisk,sidxprcdirection,sidxpricefrcst,sidxvolatility,bsentiment,boptimism,btrust,bfear,bstress,bsurprise,buncertainty,bdefault,bprcdirection,bpricefrcst,bvolatility,centralbank,debtdefault,interestrates,intratesfrcst,mplcyloosevstight
2019-01-01 12:00:00+00:00,4673.0,719.6,421.5,-0.0368,0.0029,0.0018,0.0087,0.0718,0.0049,0.0082,0.018,0.0523,0.0223,0.036,-0.2988,-0.0208,0.0017,0.0042,0.0737,0.0,0.0215,0.0083,-0.0278,0.0,0.0252,0.6311,0.2515,0.0273,0.0154,0.0119
2019-01-02 00:00:00+00:00,3050.9,522.9,537.5,-0.1736,-0.0238,0.0026,0.0159,0.0734,0.0102,0.0175,-0.0172,-0.0039,0.0003,0.0476,-0.2027,-0.0516,-0.001,0.0124,0.0851,0.0038,0.0316,0.0096,-0.0038,0.0038,0.0275,0.5135,0.3963,0.0112,0.0019,-0.0214
2019-01-02 12:00:00+00:00,3742.9,1554.2,638.5,-0.1821,0.0023,0.0033,0.0171,0.0741,0.0036,0.0334,0.0021,-0.0063,-0.0049,0.0349,-0.2233,0.0335,0.0018,0.0103,0.0479,0.0051,0.0219,0.0077,-0.0058,-0.0013,0.0252,0.7901,0.0219,0.0188,0.0196,-0.0031
2019-01-03 00:00:00+00:00,17279.8,3779.7,1132.5,-0.1986,-0.0272,0.0023,0.0134,0.0604,0.0027,0.0133,-0.0166,-0.0276,-0.001,0.0455,-0.0659,-0.0221,0.0002,0.0185,0.0765,0.0032,0.0405,0.0067,0.0008,-0.0008,0.0486,0.6901,0.0755,0.0199,0.0044,0.0079
2019-01-03 12:00:00+00:00,8591.9,1880.3,560.5,0.0417,0.0102,0.0032,0.0088,0.0597,0.0033,0.0118,0.0277,0.047,0.0318,0.0322,-0.1585,0.0024,-0.0023,0.0122,0.062,0.0011,0.0104,0.0048,-0.0739,0.0003,0.0246,0.7511,0.0776,-0.0089,0.0089,0.0143
2019-01-04 00:00:00+00:00,14619.2,4854.9,1589.0,-0.2846,-0.0014,0.0014,0.0074,0.0451,0.0033,0.0101,-0.0017,-0.103,0.0038,0.0483,-0.073,-0.0209,0.0025,0.0093,0.0484,0.0075,0.0125,0.005,0.0018,0.0021,0.0433,0.7517,0.0909,0.0116,-0.0022,0.0085
2019-01-04 12:00:00+00:00,9185.8,2438.1,1471.0,-0.0948,-0.0022,0.0075,0.0115,0.0568,0.0027,0.0118,0.022,0.0054,0.0213,0.0439,-0.2125,-0.0328,0.0084,0.0164,0.0492,0.0029,0.0168,0.0082,-0.0396,-0.0012,0.0187,0.8447,0.0432,-0.0007,-0.0088,0.0034
2019-01-05 00:00:00+00:00,16348.4,4141.9,6010.0,0.0828,0.013,0.0117,0.0096,0.0473,0.0024,0.0182,0.0114,0.0573,0.0024,0.0444,-0.205,-0.0098,0.0007,0.0077,0.0666,0.0027,0.0148,0.0104,-0.0249,0.0012,0.0621,0.792,0.0381,-0.0088,-0.0042,-0.001
2019-01-05 12:00:00+00:00,1996.2,655.5,761.0,0.005,0.0098,0.0061,0.0035,0.0651,0.0055,0.0148,0.0024,0.0333,-0.003,0.0606,-0.251,-0.0305,-0.0015,0.0122,0.1091,0.0015,0.0061,0.0153,-0.0168,0.0,0.0211,0.6045,0.2306,0.0112,0.0033,-0.0026
2019-01-06 00:00:00+00:00,3674.7999999999997,486.0,608.0,0.3617,-0.0014,0.0038,0.0024,0.026,0.0007,0.0037,0.0721,0.151,0.0667,0.0276,-0.2315,-0.0792,0.0028,0.0216,0.106,0.0082,0.0288,0.0062,-0.0247,0.0,0.037,0.6234,0.1275,-0.0214,-0.0,-0.0025
2019-01-06 12:00:00+00:00,750.2,405.0,396.5,-0.0413,0.0033,0.0043,0.018,0.0733,0.0047,0.0193,0.0127,0.0107,0.0073,0.0443,-0.1062,-0.0667,-0.0034,0.021,0.1086,0.0049,0.0259,0.0111,-0.0,-0.0049,0.0296,0.7579,0.1248,-0.0303,0.005,0.0013
2019-01-07 00:00:00+00:00,2710.7,712.5,777.5,0.0428,-0.0286,0.0127,0.0085,0.0594,0.0044,0.0114,-0.0003,0.0391,0.0018,0.0349,-0.2421,-0.0049,-0.0018,-0.0007,0.0688,0.0014,0.0126,0.0295,0.0042,0.0014,0.0302,0.7203,0.1055,-0.0598,0.0,0.0026
2019-01-07 12:00:00+00:00,6588.6,1280.0,2806.5,0.2158,0.0198,0.0217,0.0105,0.0478,0.0039,0.0111,0.006,0.0641,0.0009,0.058,-0.0457,-0.0445,0.0104,0.0086,0.0582,0.0,0.016,0.0305,0.0625,0.0039,0.0296,0.6799,0.0422,-0.1906,0.003,-0.0061
2019-01-08 00:00:00+00:00,15715.9,3964.6,3526.0,0.0949,0.0074,0.0114,0.0075,0.0542,0.0025,0.0234,0.0037,0.0487,0.0012,0.042,-0.0943,0.0016,0.0009,0.0159,0.074,-0.0005,0.0161,0.01,0.0062,-0.0011,0.0244,0.6245,0.1366,-0.0288,0.006,0.0006
2019-01-08 12:00:00+00:00,6551.8,1611.0,1996.5,0.226,0.0018,0.0018,0.0088,0.0392,0.0023,0.009,0.0406,0.1372,0.0418,0.0326,-0.0537,-0.0214,0.0005,0.0099,0.0838,0.0031,0.0298,0.0149,0.0037,-0.0022,0.013,0.7375,0.1047,-0.024,0.008,-0.001
2019-01-09 00:00:00+00:00,11330.5,4650.2,3109.5,0.1208,0.0391,0.0042,0.0078,0.0469,0.0034,0.0299,0.0268,0.088,0.0062,0.034,-0.1452,-0.0149,0.0013,0.0101,0.0833,0.0005,0.0137,0.0363,0.0061,-0.0014,0.0209,0.3827,0.3423,0.0077,0.0023,0.0048
2019-01-09 12:00:00+00:00,7134.8,1884.0,1470.0,0.1543,0.0046,0.0017,0.0073,0.0528,0.0046,0.0237,0.0267,0.0861,0.0184,0.0284,-0.1316,0.0173,0.0119,0.0093,0.0634,0.0,0.0157,0.0154,0.0504,0.0005,0.0292,0.6344,0.1388,-0.0303,-0.0068,-0.0095
2019-01-10 00:00:00+00:00,9990.7,5078.1,5289.5,0.1158,0.0145,0.0065,0.0102,0.0542,0.0016,0.0317,0.0168,0.0949,0.0046,0.0323,-0.1506,-0.0667,0.0016,0.0097,0.0912,0.0013,0.01,0.0167,0.0131,0.0002,0.038,0.749,0.0671,-0.0161,-0.0005,-0.0097
2019-01-10 12:00:00+00:00,5106.5,1751.0,3302.0,0.1695,0.0144,0.0037,0.0119,0.042,0.0013,0.0199,0.027,0.0853,0.0252,0.026,-0.295,-0.1216,0.0011,0.0071,0.0722,0.0029,0.0188,0.036,-0.0203,-0.0014,0.0257,0.6757,0.101,-0.0998,-0.0124,-0.0121
2019-01-11 00:00:00+00:00,11020.2,4303.3,5008.0,-0.0167,-0.0148,0.0076,0.0171,0.0557,0.0049,0.0221,0.0002,0.0113,0.0023,0.0253,-0.1615,-0.0114,0.0017,0.0259,0.0682,0.0114,0.0115,0.0189,0.0138,-0.0052,0.0326,0.7405,0.0931,-0.0002,0.0199,-0.0001
2019-01-11 12:00:00+00:00,5325.6,2036.2,3187.0,0.1348,0.0026,0.0072,0.0113,0.0464,0.0026,0.0149,0.0194,0.0563,0.0145,0.0266,-0.2303,-0.0427,-0.0001,0.0196,0.0457,0.002,0.0147,0.0125,0.0128,-0.0074,0.0272,0.7287,0.0571,-0.0665,0.0105,0.0083
2019-01-12 00:00:00+00:00,12174.2,3684.7,3853.5,-0.0493,-0.0064,0.0041,0.0124,0.0469,0.0016,0.0235,-0.006,-0.0158,0.0019,0.0263,-0.0911,-0.0299,-0.0019,0.0113,0.0749,0.0011,0.0141,0.016,0.0256,-0.0038,0.0229,0.7289,0.109,-0.0463,-0.0152,0.0275
2019-01-12 12:00:00+00:00,1096.1,635.0,591.5,-0.0055,0.0123,0.0025,0.0137,0.062,0.0055,0.0155,0.0019,0.0233,0.0018,0.0406,-0.111,0.0024,-0.0039,-0.0,0.0795,0.0047,0.0283,0.0417,0.0189,0.0063,0.0236,0.6424,0.2688,-0.0034,-0.0008,0.0127
2019-01-13 00:00:00+00:00,2348.7,823.1,552.0,0.1433,-0.0138,0.0044,0.0047,0.0609,0.0013,0.0089,0.0305,0.076,0.0283,0.0338,-0.1209,0.0061,-0.0021,0.0109,0.0832,0.0024,0.0413,0.0371,0.0018,-0.0012,0.0323,0.6024,0.1793,-0.0969,-0.0371,0.0
2019-01-13 12:00:00+00:00,494.1,520.5,331.5,-0.0132,0.0314,0.0076,0.0202,0.0273,0.0,0.0182,0.0087,-0.003,0.0,0.0192,-0.269,-0.0586,-0.0072,0.0029,0.1143,0.0038,0.025,0.0134,0.0,0.0019,0.0423,0.6878,0.1041,-0.0181,-0.0181,0.0121
2019-01-14 00:00:00+00:00,2465.2,1213.3,892.5,-0.0187,0.0045,0.0008,0.0114,0.059,0.0039,0.0172,0.0019,0.0122,0.0065,0.0324,-0.1615,-0.0148,-0.0016,0.0198,0.0898,0.0016,0.0379,0.0132,0.0025,-0.0049,0.0345,0.3395,0.4947,-0.0162,-0.0118,-0.0162
2019-01-14 12:00:00+00:00,3380.3,962.0,1391.5,-0.1855,-0.0472,0.0034,0.0531,0.0464,0.0012,0.0288,-0.0314,-0.0237,0.0033,0.0259,-0.2672,-0.079,-0.0045,0.0187,0.0842,0.001,0.0094,0.0125,0.0094,-0.0052,0.0249,0.548,0.3291,-0.0176,-0.0029,0.0183
2019-01-15 00:00:00+00:00,11921.2,3989.8,3840.0,-0.1779,-0.0182,0.005,0.0111,0.0551,0.0035,0.0217,-0.0071,-0.0432,0.0009,0.0365,-0.2365,-0.0387,-0.0086,0.0158,0.0556,0.0048,0.0218,0.0313,-0.0262,-0.0034,0.0471,0.3201,0.5417,0.0007,0.0111,0.0142
2019-01-15 12:00:00+00:00,5244.2,1302.1,2120.0,-0.0716,-0.0626,0.0058,0.0108,0.0544,0.0011,0.0174,0.0175,0.026,0.018,0.0257,-0.2577,-0.0568,-0.0065,0.0184,0.0891,0.0042,0.0499,0.0257,0.0092,0.01,0.0477,0.2736,0.6318,-0.0149,-0.0042,0.0071
2019-01-16 00:00:00+00:00,8599.1,4498.7,3381.5,0.0538,-0.0204,0.0009,0.0037,0.0474,0.0012,0.0188,0.0039,0.0905,-0.0009,0.032,-0.2833,-0.0182,-0.0033,0.0239,0.0712,0.0006,0.0144,0.0378,-0.0322,-0.0011,0.0285,0.4908,0.3547,0.005,-0.0056,0.0007
2019-01-16 12:00:00+00:00,4582.3,1609.9,2121.0,0.1788,0.0028,0.0139,0.0045,0.043,0.0016,0.0118,0.0302,0.1247,0.0223,0.037,-0.1596,-0.0522,-0.0033,0.0099,0.0606,0.0019,0.0211,0.0165,0.0149,0.0056,0.1229,0.426,0.2049,0.0816,0.0266,0.008
2019-01-17 00:00:00+00:00,9346.0,3287.8,2701.0,0.0934,-0.0141,0.0204,0.0054,0.0362,0.0048,0.023,0.0103,0.0973,0.0014,0.0443,-0.1781,-0.03,-0.0024,0.0067,0.0649,0.0079,0.0155,0.0251,-0.0071,0.002,0.0282,0.4556,0.3845,0.0111,-0.0019,0.0033
2019-01-17 12:00:00+00:00,4051.9,1412.0,1269.0,0.1446,0.0083,0.0136,0.0049,0.0381,0.0044,0.0139,0.0219,0.0832,0.0151,0.036,-0.2242,-0.0276,-0.0029,0.0113,0.0956,0.005,0.0131,0.0613,0.0071,0.0028,0.0183,0.5209,0.3243,-0.0217,-0.0051,0.0055
2019-01-18 00:00:00+00:00,8391.9,3762.9,2387.5,0.0126,0.0123,0.0054,0.0082,0.04,0.0013,0.0344,0.0133,0.0362,0.0018,0.0326,-0.1091,-0.011,0.0005,0.008,0.0751,0.0077,0.0161,0.0207,-0.0057,0.0016,0.0182,0.48,0.3539,-0.0237,0.0038,-0.0025
2019-01-18 12:00:00+00:00,6243.6,1366.2,873.5,0.1858,0.0357,0.0033,0.0054,0.0476,0.0031,0.0311,0.0387,0.0925,0.0154,0.0297,-0.142,-0.0366,0.0007,0.0146,0.0629,0.0117,0.0139,0.011,0.0234,0.0146,0.0179,0.6176,0.233,-0.0269,0.0023,-0.0092
2019-01-19 00:00:00+00:00,10780.3,3252.6,1996.0,0.1457,0.0105,0.0027,0.0058,0.0353,0.0033,0.0351,0.0233,0.1058,0.0057,0.0314,-0.1285,0.0085,-0.0008,0.0101,0.0672,0.0034,0.0275,0.0112,-0.0023,0.0068,0.0448,0.6157,0.2199,0.0175,0.0025,0.0045
2019-01-19 12:00:00+00:00,2836.3,488.1,295.5,0.1992,-0.0009,0.0076,0.0032,0.0524,0.0,0.0095,0.0434,0.0857,0.0261,0.0332,-0.0061,-0.0338,0.0128,0.0,0.0645,0.0113,0.0061,0.001,0.0287,0.0041,0.032,0.5364,0.2657,0.0423,0.0017,-0.0034
2019-01-20 00:00:00+00:00,1677.2,433.0,335.0,0.0453,-0.0036,0.0118,0.0057,0.0692,0.003,0.0203,0.0113,0.0396,0.0024,0.0414,-0.2413,-0.067,0.0012,0.0208,0.0739,0.0069,0.015,0.0115,-0.0023,0.0,0.0208,0.591,0.2373,0.006,0.0,0.0343
2019-01-20 12:00:00+00:00,988.7,244.4,175.5,-0.0546,-0.0829,0.0126,0.0061,0.0637,0.0051,0.0298,-0.0274,0.0308,-0.0091,0.0385,-0.3805,-0.0511,-0.0092,0.0,0.0614,0.0,0.045,0.0,-0.0041,0.0,0.0507,0.6838,0.1966,0.0513,0.0057,0.0
2019-01-21 00:00:00+00:00,1832.9,958.0,385.5,0.087,0.0196,0.007,0.0101,0.0521,0.0079,0.0134,0.01,0.0494,0.0057,0.0361,-0.2542,-0.0444,-0.0026,0.0052,0.0882,0.0,0.0021,0.0052,0.0136,-0.0031,0.0181,0.7017,0.1349,0.0233,-0.0078,0.0363
2019-01-21 12:00:00+00:00,2609.5,811.2,785.0,0.1399,0.0125,0.0031,0.0061,0.04,0.0023,0.0345,0.0067,0.0678,0.0042,0.0322,0.0111,-0.0197,-0.0022,0.0055,0.0783,0.0,0.0345,0.021,0.0505,0.0062,0.0311,0.6815,0.0675,-0.1217,-0.0032,0.0032
2019-01-22 00:00:00+00:00,2832.5,1148.2,594.5,-0.0085,0.0034,0.0079,0.0046,0.0515,0.0085,0.0207,0.0067,0.0231,-0.0009,0.0398,-0.1224,0.01,0.0078,0.0061,0.0631,0.0126,0.0235,0.0035,-0.0039,0.0048,0.0159,0.5988,0.201,0.0118,-0.0084,-0.0067
2019-01-22 12:00:00+00:00,2452.9,1012.7,638.5,-0.178,-0.0709,0.0011,0.0147,0.064,0.0016,0.0245,-0.0266,-0.0006,-0.0026,0.0263,-0.1797,-0.0479,-0.0027,0.0247,0.0834,0.0128,0.0123,0.0158,0.0064,0.001,0.0328,0.4965,0.2005,0.0431,-0.0094,0.0251
